State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,IR09,IR10,IR11,IR12,IR13,IR14,IR15,IR16,IR17,IR18,IR19,IR20,IR21,IR22,,
Alabama,0.2,0.1,0,0.5,0.5,0.5,1.3,0.5,0.8,0.8,0.7,1.3,0.3,1,0.6,-0.5,-1,#DIV/0!,0,0,1.6,-0.615384615,0.6,0,-0.125,0.857142857,-0.769230769,2.333333333,-0.4,,1
Alaska,0.9,1,1,1.5,1.4,1.9,1.1,1.2,2,1.3,1.5,0.4,0,0,1,0.111111111,0,0.5,-0.066666667,0.357142857,-0.421052632,0.090909091,0.666666667,-0.35,0.153846154,-0.733333333,-1,#DIV/0!,#DIV/0!,,
Arizona,0.1,0.1,0,0.2,0.2,0.5,0.3,0.2,0.2,0.4,0.1,0.1,0,0,0.1,0,-1,#DIV/0!,0,1.5,-0.4,-0.333333333,0,1,-0.75,0,-1,#DIV/0!,#DIV/0!,,
Arkansas,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.6,0.4,0.4,0.1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,-0.5,5,-0.333333333,0,-0.75,,
California,0.2,0.3,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.4,0.3,0.4,0.1,0.3,0.2,0.5,0,-0.333333333,0,0.5,-0.333333333,0.5,0,0.333333333,-0.25,0.333333333,-0.75,2,-0.333333333,,
Colorado,0.1,0,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.2,-1,#DIV/0!,-1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,-1,#DIV/0!,#DIV/0!,,
Connecticut,111.2,118.1,85.7,84.7,73.9,81.3,65.6,70.8,48.8,57.4,52,34.6,17.3,15,55.8,0.06205036,-0.274343776,-0.011668611,-0.127508855,0.100135318,-0.193111931,0.079268293,-0.310734463,0.176229508,-0.094076655,-0.334615385,-0.5,-0.132947977,2.72,,
Delaware,88.1,111.2,72.9,96.2,73.1,55.1,44.7,46.2,53.3,63.5,53.8,65.6,36,14,29.7,0.262202043,-0.34442446,0.319615912,-0.24012474,-0.24623803,-0.188747731,0.033557047,0.153679654,0.191369606,-0.152755906,0.219330855,-0.451219512,-0.611111111,1.121428571,,
District of Columbia,12.5,10.2,6.9,0,0,5.4,6,17.9,15,12.1,11.2,14.1,16.8,13.6,11.5,-0.184,-0.323529412,-1,#DIV/0!,#DIV/0!,0.111111111,1.983333333,-0.162011173,-0.193333333,-0.074380165,0.258928571,0.191489362,-0.19047619,-0.154411765,,
Florida,0.5,0.6,0.4,0.6,0.6,0.7,0.8,0.8,1,1,0.8,0.8,0.6,0.9,1.1,0.2,-0.333333333,0.5,0,0.166666667,0.142857143,0,0.25,0,-0.2,0,-0.25,0.5,0.222222222,,
Georgia,0.4,0.4,0.1,0.3,0.3,0.1,0,0.1,0,0.1,0.2,0.2,0.3,0.3,0.3,0,-0.75,2,0,-0.666666667,-1,#DIV/0!,-1,#DIV/0!,1,0,0.5,0,0,,
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Idaho,0.6,1,0.6,0.3,0.3,1.2,0.6,0.5,1,1.2,0.5,0.8,0.3,0.3,0.5,0.666666667,-0.4,-0.5,0,3,-0.5,-0.166666667,1,0.2,-0.583333333,0.6,-0.625,0,0.666666667,,
Illinois,0.8,1.1,1.1,1.5,1.6,2.6,1.8,2.2,1.8,2.1,2.2,3.1,2.3,4.3,2,0.375,0,0.363636364,0.066666667,0.625,-0.307692308,0.222222222,-0.181818182,0.166666667,0.047619048,0.409090909,-0.258064516,0.869565217,-0.534883721,,
Indiana,0.7,1.3,1.2,1.4,1.1,1.7,1.7,2.1,2.3,2.1,2.3,2.8,3.1,4.6,3.5,0.857142857,-0.076923077,0.166666667,-0.214285714,0.545454545,0,0.235294118,0.095238095,-0.086956522,0.095238095,0.217391304,0.107142857,0.483870968,-0.239130435,,
Iowa,3.6,3.6,2.8,3.3,5.4,8,6.2,10.2,7.4,8.1,9,9.6,8.1,11.2,4.8,0,-0.222222222,0.178571429,0.636363636,0.481481481,-0.225,0.64516129,-0.274509804,0.094594595,0.111111111,0.066666667,-0.15625,0.382716049,-0.571428571,,
Kansas,0.6,0.6,0.3,0.6,0.7,1.2,0.7,0.8,1.3,1.4,1,1.2,0.6,0.7,0.3,0,-0.5,1,0.166666667,0.714285714,-0.416666667,0.142857143,0.625,0.076923077,-0.285714286,0.2,-0.5,0.166666667,-0.571428571,,
Kentucky,0.1,0,0.1,0.1,0.3,0.9,1,1.1,0.7,0.4,0.5,0.5,0.7,0.9,1.6,-1,#DIV/0!,0,2,2,0.111111111,0.1,-0.363636364,-0.428571429,0.25,0,0.4,0.285714286,0.777777778,,
Louisiana,0.1,0,0.1,0,0.2,0,0,0.1,0.1,0.3,0.1,0.2,0,0.1,0.1,-1,#DIV/0!,-1,#DIV/0!,-1,#DIV/0!,#DIV/0!,0,2,-0.666666667,1,-1,#DIV/0!,0,,
Maine,68.8,73.6,56.6,75.7,83.7,103.3,105.2,90.4,111.6,138.5,104.8,161,83.5,110,192.6,0.069767442,-0.230978261,0.33745583,0.105680317,0.234169654,0.01839303,-0.140684411,0.234513274,0.241039427,-0.2433213,0.536259542,-0.48136646,0.317365269,0.750909091,,
Maryland,39.2,35.5,27.9,23.1,28,20.2,23,28.9,31.1,31.4,22.9,23.4,13.9,14.9,33,-0.094387755,-0.214084507,-0.172043011,0.212121212,-0.278571429,0.138613861,0.256521739,0.076124567,0.009646302,-0.270700637,0.021834061,-0.405982906,0.071942446,1.214765101,,
Massachusetts,70,79.7,49.7,37.4,77.1,78.8,78.4,62.1,2.9,6,0.2,0.1,1.6,0.4,72.3,0.138571429,-0.376411543,-0.247484909,1.061497326,0.022049287,-0.005076142,-0.207908163,-0.953301127,1.068965517,-0.966666667,-0.5,15,-0.75,179.75,,
Michigan,0.9,1,1,1.1,1,1.7,1.3,1.5,2.2,2.9,2.6,4.1,4.7,8.6,5.5,0.111111111,0,0.1,-0.090909091,0.7,-0.235294118,0.153846154,0.466666667,0.318181818,-0.103448276,0.576923077,0.146341463,0.829787234,-0.360465116,,
Minnesota,24.5,29.3,36.9,39.7,28.2,43.2,26,32.9,38.5,41.6,27.5,27.1,0,33.3,47,0.195918367,0.259385666,0.075880759,-0.289672544,0.531914894,-0.398148148,0.265384615,0.170212766,0.080519481,-0.338942308,-0.014545455,-1,#DIV/0!,0.411411411,,
Mississippi,0,0,0,0.2,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0.1,#DIV/0!,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,0,-1,#DIV/0!,#DIV/0!,0,-1,#DIV/0!,#DIV/0!,,
Missouri,0.1,0.1,0.1,0.1,0,0,0.2,0.1,0.2,0.2,0.2,0.3,0.1,0.1,0.1,0,0,0,-1,#DIV/0!,#DIV/0!,-0.5,1,0,0,0.5,-0.666666667,0,0,,
Montana,1.8,0.3,0.4,1.1,0.6,1.8,0.7,0.5,1.6,1.1,0.7,0.7,0.3,1.2,1.2,-0.833333333,0.333333333,1.75,-0.454545455,2,-0.611111111,-0.285714286,2.2,-0.3125,-0.363636364,0,-0.571428571,3,0,,
Nebraska,0.7,0.3,0.4,0.6,0.8,0.5,0.4,0.6,0.7,0.7,0.8,0.5,0.3,0.5,0.5,-0.571428571,0.333333333,0.5,0.333333333,-0.375,-0.2,0.5,0.166666667,0,0.142857143,-0.375,-0.4,0.666666667,0,,
Nevada,0.5,0.5,0.1,0.2,0.4,0.6,0.2,0.2,0.5,0.6,0.5,0.6,0.1,0.5,0.3,0,-0.8,1,1,0.5,-0.666666667,0,1.5,0.2,-0.166666667,0.2,-0.833333333,4,-0.4,,
New Hampshire,121.1,106.8,101.7,98.4,109.5,127.1,54.3,39.6,66.3,102.3,105.4,125.7,21.9,28.6,78.2,-0.118084228,-0.047752809,-0.032448378,0.112804878,0.160730594,-0.572777341,-0.270718232,0.674242424,0.542986425,0.03030303,0.19259962,-0.825775656,0.305936073,1.734265734,,
New Jersey,40.2,57.1,42.2,48.3,40.4,42.5,37.1,54.7,49,57.3,45,40.7,28.9,38,63.6,0.42039801,-0.260945709,0.144549763,-0.163561077,0.051980198,-0.127058824,0.474393531,-0.104204753,0.169387755,-0.214659686,-0.095555556,-0.28992629,0.314878893,0.673684211,,
New Mexico,0.4,0.2,0.2,0.3,0,0.3,0,0,0,0.1,0.1,0.3,0,0.1,0.1,-0.5,0,0.5,-1,#DIV/0!,-1,#DIV/0!,#DIV/0!,#DIV/0!,0,2,-1,#DIV/0!,0,,
New York,40,28.9,17.7,23,15.3,23.5,19,21.9,19.8,26.3,18.6,21.8,11.6,15.2,84.6,-0.2775,-0.387543253,0.299435028,-0.334782609,0.535947712,-0.191489362,0.152631579,-0.095890411,0.328282828,-0.292775665,0.172043011,-0.467889908,0.310344828,4.565789474,,
North Carolina,0.5,1,0.9,0.9,1.3,1.8,1.7,2.3,2.7,2.9,2,3.2,2.5,3.2,2.6,1,-0.1,0,0.444444444,0.384615385,-0.055555556,0.352941176,0.173913043,0.074074074,-0.310344828,0.6,-0.21875,0.28,-0.1875,,
North Dakota,1.6,2.3,4.9,3.9,2.1,4,1.9,4.4,4.2,7.4,4.3,5,4.7,4.4,2.8,0.4375,1.130434783,-0.204081633,-0.461538462,0.904761905,-0.525,1.315789474,-0.045454545,0.761904762,-0.418918919,0.162790698,-0.06,-0.063829787,-0.363636364,,
Ohio,0.4,0.5,0.4,0.5,0.6,0.8,1,1.3,1.4,2.3,2.5,4,3.5,5,4.7,0.25,-0.2,0.25,0.2,0.333333333,0.25,0.3,0.076923077,0.642857143,0.086956522,0.6,-0.125,0.428571429,-0.06,,
Oklahoma,0.1,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,-1,#DIV/0!,0,0,-1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Oregon,1,1,1,1,1.2,1.1,1.1,0.8,1.5,2,1.7,1.5,0.9,1.7,1.4,0,0,0,0.2,-0.083333333,0,-0.272727273,0.875,0.333333333,-0.15,-0.117647059,-0.4,0.888888889,-0.176470588,,
Pennsylvania,30.4,45.4,29.9,42.1,39.4,45.1,58.5,70.7,89.5,93,79.7,70.3,26.1,22.4,64.7,0.493421053,-0.341409692,0.408026756,-0.064133017,0.144670051,0.297117517,0.208547009,0.265912306,0.039106145,-0.143010753,-0.117942284,-0.628733997,-0.141762452,1.888392857,,
Rhode Island,19.9,22.3,17.2,15.1,20.6,68.6,85.6,85.5,85.4,107.1,104.9,91.8,79.4,89.4,212,0.120603015,-0.228699552,-0.122093023,0.364238411,2.330097087,0.247813411,-0.001168224,-0.001169591,0.254098361,-0.02054155,-0.124880839,-0.135076253,0.125944584,1.371364653,,
South Carolina,0.6,0.9,0.6,0.8,0.9,0.9,0.8,0.9,1,0.4,0.8,0.9,0.9,1.5,0.8,0.5,-0.333333333,0.333333333,0.125,0,-0.111111111,0.125,0.111111111,-0.6,1,0.125,0,0.666666667,-0.466666667,,
South Dakota,0.4,0.1,0.1,0.5,0.5,0.5,0.2,0.6,1.3,1.4,0.8,1.1,0.9,1.8,1.3,-0.75,0,4,0,0,-0.6,2,1.166666667,0.076923077,-0.428571429,0.375,-0.181818182,1,-0.277777778,,
Tennessee,0.5,0.6,0.6,0.6,0.5,0.4,0.3,0.4,0.4,0.7,0.4,0.7,0.6,0.8,0.5,0.2,0,0,-0.166666667,-0.2,-0.25,0.333333333,0,0.75,-0.428571429,0.75,-0.142857143,0.333333333,-0.375,,
Texas,0.6,1.1,0.6,0.3,0.3,0.3,0.1,0.2,0.3,0.2,0.2,0.1,0,0.1,0.1,0.833333333,-0.454545455,-0.5,0,0,-0.666666667,1,0.5,-0.333333333,0,-0.5,-1,#DIV/0!,0,,
Utah,0.2,0.3,0.1,0.3,0.2,0.5,0.4,0.2,0.6,0.8,0.9,0.6,0.4,0.5,0.5,0.5,-0.666666667,2,-0.333333333,1.5,-0.2,-0.5,2,0.333333333,0.125,-0.333333333,-0.333333333,0.25,0,,
Vermont,65.1,65.6,56.9,99.3,83.3,142.5,95.7,113.5,121.9,174.7,92.2,170.5,9.5,17.8,202.8,0.007680492,-0.132621951,0.74516696,-0.161127895,0.710684274,-0.328421053,0.18599791,0.074008811,0.43314192,-0.472238122,0.849240781,-0.944281525,0.873684211,10.39325843,,
Virginia,12,11.5,15.5,12.6,13.6,15.8,16.2,18.4,16,19.6,13.4,14,6.5,8.2,16.2,-0.041666667,0.347826087,-0.187096774,0.079365079,0.161764706,0.025316456,0.135802469,-0.130434783,0.225,-0.316326531,0.044776119,-0.535714286,0.261538462,0.975609756,,
Washington,0.4,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.4,0.5,0.3,0.6,0.3,0.6,0.3,-0.5,0,0.5,-0.333333333,0.5,-0.333333333,0.5,0.333333333,0.25,-0.4,1,-0.5,1,-0.5,,
West Virginia,7.4,11,7.8,6.4,5.2,7.7,7.3,15.7,20.1,35.6,37.2,49.3,59.7,100.5,138.3,0.486486486,-0.290909091,-0.179487179,-0.1875,0.480769231,-0.051948052,1.150684932,0.280254777,0.771144279,0.04494382,0.325268817,0.210953347,0.683417085,0.376119403,,
Wisconsin,36.1,45.8,61.3,64,30.9,32.6,23.7,32.9,39.7,51.8,32.2,37.4,24.8,37.2,88.6,0.268698061,0.338427948,0.044045677,-0.5171875,0.055016181,-0.273006135,0.388185654,0.20668693,0.304785894,-0.378378378,0.161490683,-0.336898396,0.5,1.38172043,,
Wyoming,0.6,0.6,0,0.4,0.7,0.5,0.5,0.2,0.2,0.7,0,0.9,0,0.3,0.7,0,-1,#DIV/0!,0.75,-0.285714286,0,-0.6,0,2.5,-1,#DIV/0!,-1,#DIV/0!,1.333333333,,